previous_position,player_position,density_col_0,density_col_1,density_col_2,density_col_3,density_col_4,density_col_5,ETA_nearest,offset_from_nearest,safe_zone_width,edge_awareness,final_position
2,1,1,0,1,1,0,0,380.28,-169.72,3,1,1
1,2,1,1,0,4,0,0,147.83,-402.17,0,2,2
2,1,1,0,1,4,0,0,125.72,-424.28,0,1,1
1,0,0,1,2,3,0,0,369.05,-180.95,0,0,0
0,1,4,0,2,0,0,0,126.61,-423.39,0,1,1
1,2,3,1,1,1,0,0,239.93,-310.07,0,2,2
2,3,2,2,1,1,0,0,263.35,-286.65,0,2,3
3,4,1,2,1,1,1,0,331.36,-218.64,0,1,4
4,3,0,1,1,1,2,1,184.86,-365.14,0,2,3
3,2,0,0,0,2,2,2,181.89,-368.11,0,2,2
2,3,2,2,0,1,1,0,248.34,-301.66,0,2,3
3,2,1,1,0,1,1,2,131.32,-418.68,0,2,2
2,3,2,3,1,0,0,0,249.56,-300.44,0,2,3
3,4,0,1,2,2,0,1,173.24,-376.76,0,1,4
4,5,0,0,2,3,1,0,213.08,-336.92,0,0,5
5,4,0,0,1,2,0,3,123.02,-426.98,0,1,4
4,3,0,0,2,0,1,3,165.01,-384.99,0,2,3
3,2,0,0,2,1,1,2,46.0,-504.0,0,2,2
2,1,0,0,1,1,2,2,219.67,-330.33,0,1,1
1,0,0,1,0,2,2,0,278.62,-271.38,1,0,0
0,1,1,0,5,0,0,0,131.32,-418.68,0,1,1
1,2,1,2,1,2,0,0,162.37,-387.63,0,2,2
2,3,0,2,2,2,0,0,181.89,-368.11,0,2,3
3,4,0,1,2,3,0,0,249.56,-300.44,0,1,4
4,3,0,0,2,0,2,2,126.61,-423.39,0,2,3
3,2,0,0,2,1,1,2,246.07,-303.93,0,2,2
2,1,0,0,2,1,0,2,278.62,-271.38,1,1,1
1,0,1,1,2,2,0,0,173.24,-376.76,0,0,0
0,1,1,2,2,1,0,0,46.0,-504.0,0,1,1
1,2,2,2,1,1,0,0,124.31,-425.69,0,2,2
2,3,2,2,1,1,0,0,226.34,-323.66,0,2,3
3,2,1,1,1,1,2,0,159.79,-390.21,0,2,2
2,1,1,0,1,1,3,0,222.99,-327.01,0,1,1
1,2,1,1,1,1,2,0,247.82,-302.18,0,2,2
2,3,1,1,2,1,1,0,187.86,-362.14,0,2,3
3,4,0,1,2,1,1,1,236.5,-313.5,0,1,4
4,3,0,0,2,1,1,2,123.15,-426.85,0,2,3
3,2,0,0,2,3,0,1,46.0,-504.0,0,2,2
2,1,0,0,1,3,1,1,222.99,-327.01,0,1,1
1,0,0,1,1,3,1,0,371.38,-178.62,0,0,0
0,1,3,3,0,0,0,0,42.0,-508.0,0,1,1
1,2,3,3,0,0,0,0,167.71,-382.29,0,2,2
2,3,2,2,1,0,1,0,328.69,-221.31,0,2,3
3,2,0,0,1,1,1,3,331.36,-218.64,0,2,2
2,1,1,0,1,1,1,2,396.83,-153.17,0,1,1
1,2,1,2,1,2,0,0,190.91,-359.09,0,2,2
2,3,1,2,1,2,0,0,222.99,-327.01,0,2,3
3,4,0,2,1,2,0,1,261.95,-288.05,0,1,4
4,3,0,0,1,2,0,3,202.0,-348.0,0,2,3
3,2,0,0,1,2,0,3,197.09,-352.91,0,2,2
2,1,0,0,1,3,1,1,246.07,-303.93,0,1,1
1,0,1,1,1,3,0,0,38.0,-512.0,0,0,0
2,3,2,1,1,0,0,0,303.64,-246.36,2,2,3
3,2,0,0,2,2,2,0,130.0,-420.0,0,2,2
2,1,0,0,2,2,2,0,150.08,-399.92,0,1,1
1,2,2,3,1,0,0,0,178.97,-371.03,0,2,2
2,3,2,3,1,0,0,0,252.74,-297.26,0,2,3
3,2,0,0,0,1,3,2,246.4,-303.6,0,2,2
2,1,0,0,1,1,2,2,371.86,-178.14,0,1,1
1,2,2,1,1,2,0,0,26.0,-524.0,0,2,2
2,3,3,1,1,0,1,0,248.34,-301.66,0,2,3
3,2,0,0,1,2,3,0,46.0,-504.0,0,2,2
2,3,2,1,1,0,2,0,178.97,-371.03,0,2,3
3,4,1,1,1,1,1,1,162.37,-387.63,0,1,4
4,3,0,1,0,3,2,0,46.0,-504.0,0,2,3
3,2,0,1,0,3,2,0,125.72,-424.28,0,2,2
2,3,2,2,1,0,1,0,200.23,-349.77,0,2,3
3,4,0,3,1,2,0,0,315.78,-234.22,0,1,4
4,3,0,0,5,0,1,0,128.74,-421.26,0,2,3
3,4,0,0,3,1,1,1,178.97,-371.03,0,1,4
4,3,0,0,2,0,2,2,123.79,-426.21,0,2,3
3,2,0,1,0,2,2,1,271.46,-278.54,0,2,2
2,3,0,2,2,0,2,0,124.95,-425.05,0,2,3
3,2,0,1,1,2,1,1,176.08,-373.92,0,2,2
2,3,1,1,1,1,2,0,123.41,-426.59,0,2,3
3,4,1,1,1,1,1,1,216.36,-333.64,0,1,4
4,3,1,0,2,1,1,1,178.97,-371.03,0,2,3
3,2,0,0,2,2,1,1,248.34,-301.66,0,2,2
2,1,0,0,2,2,1,1,293.06,-256.94,0,1,1
1,2,3,1,0,2,0,0,126.61,-423.39,0,2,2
2,3,1,1,1,0,3,0,126.61,-423.39,0,2,3
3,2,0,2,0,1,2,1,154.81,-395.19,0,2,2
2,3,2,2,2,0,0,0,247.82,-302.18,0,2,3
3,2,0,0,0,2,1,3,176.08,-373.92,0,2,2
2,1,1,1,1,2,1,0,248.34,-301.66,0,1,1
1,0,0,3,2,1,0,0,233.09,-316.91,0,0,0
0,1,5,1,0,0,0,0,30.0,-520.0,0,1,1
2,1,2,0,1,3,0,0,247.37,-302.63,0,1,1
1,2,2,1,2,1,0,0,128.74,-421.26,0,2,2
2,3,2,1,2,0,1,0,167.71,-382.29,0,2,3
3,2,0,1,0,1,2,2,246.66,-303.34,0,2,2
2,1,2,0,2,1,1,0,170.45,-379.55,0,1,1
1,2,1,2,1,2,0,0,123.79,-426.21,0,2,2
2,3,1,2,1,1,1,0,246.4,-303.6,0,2,3
3,4,1,1,1,2,1,0,289.44,-260.56,0,1,4
4,5,0,0,2,2,2,0,267.9,-282.1,0,0,5
5,4,0,0,1,2,1,1,150.0,-400.0,1,1,4
4,3,0,0,1,2,1,2,123.02,-426.98,0,2,3
3,2,0,0,1,2,1,2,246.98,-303.02,0,2,2
2,1,1,0,1,2,0,2,278.24,-271.76,0,1,1
1,0,1,2,3,0,0,0,246.66,-303.34,0,0,0
0,1,1,3,2,0,0,0,129.97,-420.03,0,1,1
1,2,1,3,2,0,0,0,184.86,-365.14,0,2,2
2,3,1,3,2,0,0,0,203.4,-346.6,0,2,3
3,2,0,1,0,3,1,1,170.45,-379.55,0,2,2
2,3,1,2,1,0,2,0,137.74,-412.26,0,2,3
3,4,0,1,3,2,0,0,247.37,-302.63,0,1,4
4,5,0,1,2,2,1,0,359.39,-190.61,0,0,5
5,4,0,0,0,0,3,3,34.0,-516.0,0,1,4
