previous_position,player_position,density_col_0,density_col_1,density_col_2,density_col_3,density_col_4,density_col_5,ETA_nearest,offset_from_nearest,safe_zone_width,edge_awareness,final_position
2,3,2,0,1,1,2,0,123.02,2,2,2,3
3,2,1,0,2,1,1,1,247.82,-30,1,2,2
2,3,1,1,2,0,1,1,176.08,-126,1,2,3
3,2,1,1,0,2,1,1,167.71,-114,1,2,2
2,3,1,1,1,3,0,0,173.24,-122,2,2,3
3,4,1,1,1,3,0,0,197.09,-154,2,1,4
4,3,0,0,3,0,3,0,123.02,2,4,2,3
3,2,0,0,1,2,3,0,247.37,26,3,2,2
2,1,0,0,1,2,3,0,260.82,-230,3,1,1
1,2,1,0,0,4,1,0,123.15,6,3,2,2
2,1,1,1,1,2,1,0,239.93,-206,1,1,1
1,2,0,2,2,1,1,0,176.08,-126,2,2,2
2,3,1,2,2,1,0,0,250.26,-46,2,2,3
3,4,1,2,2,1,0,0,293.06,-266,2,1,4
4,3,1,0,2,0,2,1,125.72,26,2,2,3
3,2,0,1,0,1,4,0,246.66,-18,3,2,2
2,3,1,2,1,1,1,0,127.61,34,1,2,3
3,2,1,1,1,2,1,0,190.91,-146,1,2,2
2,1,0,1,1,2,2,0,173.24,-122,2,1,1
1,2,0,2,1,1,2,0,139.59,-66,2,2,2
2,3,0,2,1,1,2,0,126.61,30,2,2,3
3,2,0,2,0,1,2,1,187.86,-142,2,2,2
2,3,0,2,3,0,1,0,233.09,-198,3,2,3
3,4,0,2,2,1,0,1,124.31,18,2,1,4
4,3,0,2,1,1,1,1,38.0,38,1,2,3
