frame,player_column,dodge_flag,fireball_cols,fireball_ys
1,2,0,,
2,2,0,,
3,2,0,,
4,2,0,,
5,2,0,,
6,2,0,,
7,2,0,,
8,2,0,,
9,2,0,,
10,2,0,,
11,2,0,,
12,2,0,,
13,2,0,,
14,2,0,,
15,2,0,,
16,2,0,,
17,2,0,,
18,2,0,,
19,2,0,,
20,2,0,,
21,2,0,,
22,2,0,,
23,2,0,,
24,2,0,,
25,2,0,3,4
26,2,0,3,8
27,2,0,3,12
28,2,0,3,16
29,2,0,3,20
30,2,0,3,24
31,2,0,3,28
32,2,0,3,32
33,2,0,3,36
34,2,0,3,40
35,2,0,3,44
36,2,0,3,48
37,2,0,3,52
38,2,0,3,56
39,2,0,3,60
40,2,0,3,64
41,2,0,3,68
42,2,0,3,72
43,2,0,3,76
44,2,0,3,80
45,2,0,3,84
46,2,0,3,88
47,2,0,3,92
48,2,0,3,96
49,2,0,3,100
50,2,0,3|3,104|4
51,2,0,3|3,108|8
52,2,0,3|3,112|12
53,2,0,3|3,116|16
54,2,0,3|3,120|20
55,2,0,3|3,124|24
56,2,0,3|3,128|28
57,2,0,3|3,132|32
58,2,0,3|3,136|36
59,2,0,3|3,140|40
60,2,0,3|3,144|44
61,2,0,3|3,148|48
62,2,0,3|3,152|52
63,2,0,3|3,156|56
64,2,0,3|3,160|60
65,2,0,3|3,164|64
66,2,0,3|3,168|68
67,2,0,3|3,172|72
68,2,0,3|3,176|76
69,2,0,3|3,180|80
70,2,0,3|3,184|84
71,2,0,3|3,188|88
72,2,0,3|3,192|92
73,2,0,3|3,196|96
74,2,0,3|3,200|100
75,2,0,3|3|4,204|104|4
76,2,0,3|3|4,208|108|8
77,2,0,3|3|4,212|112|12
78,2,0,3|3|4,216|116|16
79,2,0,3|3|4,220|120|20
80,2,0,3|3|4,224|124|24
81,2,0,3|3|4,228|128|28
82,2,0,3|3|4,232|132|32
83,2,0,3|3|4,236|136|36
84,2,0,3|3|4,240|140|40
85,2,0,3|3|4,244|144|44
86,2,0,3|3|4,248|148|48
87,2,0,3|3|4,252|152|52
88,2,0,3|3|4,256|156|56
89,2,0,3|3|4,260|160|60
90,2,0,3|3|4,264|164|64
91,2,0,3|3|4,268|168|68
92,2,0,3|3|4,272|172|72
93,2,0,3|3|4,276|176|76
94,2,0,3|3|4,280|180|80
95,2,0,3|3|4,284|184|84
96,2,0,3|3|4,288|188|88
97,2,0,3|3|4,292|192|92
98,2,0,3|3|4,296|196|96
99,2,0,3|3|4,300|200|100
100,2,0,3|3|4|3,304|204|104|4
101,2,0,3|3|4|3,308|208|108|8
102,2,0,3|3|4|3,312|212|112|12
103,2,0,3|3|4|3,316|216|116|16
104,2,0,3|3|4|3,320|220|120|20
105,2,0,3|3|4|3,324|224|124|24
106,2,0,3|3|4|3,328|228|128|28
107,2,0,3|3|4|3,332|232|132|32
